"Time","bitcoin price","S&P 500","Ice skating"
"2021-01-01",69,22,27
"2021-02-01",72,23,19
"2021-03-01",55,23,12
"2021-04-01",54,21,10
"2021-05-01",71,21,9
"2021-06-01",47,20,10
"2021-07-01",33,20,11
"2021-08-01",32,19,9
"2021-09-01",32,20,8
"2021-10-01",38,19,10
"2021-11-01",37,19,22
"2021-12-01",39,22,46
"2022-01-01",47,29,31
"2022-02-01",37,28,60
"2022-03-01",30,26,15
"2022-04-01",21,23,7
"2022-05-01",42,34,5
"2022-06-01",55,33,6
"2022-07-01",36,27,6
"2022-08-01",23,26,6
"2022-09-01",23,30,6
"2022-10-01",18,29,7
"2022-11-01",31,28,17
"2022-12-01",20,26,36
"2023-01-01",21,27,19
"2023-02-01",19,28,12
"2023-03-01",25,30,7
"2023-04-01",24,24,3
"2023-05-01",18,24,3
"2023-06-01",19,25,3
"2023-07-01",18,26,3
"2023-08-01",16,26,3
"2023-09-01",13,22,3
"2023-10-01",18,25,4
"2023-11-01",21,26,14
"2023-12-01",27,28,34
"2024-01-01",29,28,18
"2024-02-01",29,28,9
"2024-03-01",48,27,5
"2024-04-01",33,29,3
"2024-05-01",25,26,3
"2024-06-01",22,25,3
"2024-07-01",24,29,3
"2024-08-01",27,38,4
"2024-09-01",20,31,3
"2024-10-01",19,28,5
"2024-11-01",56,33,13
"2024-12-01",50,32,31
"2025-01-01",40,34,17
"2025-02-01",34,37,9
"2025-03-01",37,55,6
"2025-04-01",32,100,4
"2025-05-01",31,47,3
"2025-06-01",26,42,3
"2025-07-01",43,47,3
"2025-08-01",30,42,3
"2025-09-01",22,40,3
"2025-10-01",35,47,4
"2025-11-01",48,42,14
"2025-12-01",39,40,30
"2026-01-01",30,41,19
