"Time","Bitcoin","S&P 500","Taco"
"2021-02-01",100,13,35
"2021-03-01",67,13,33
"2021-04-01",74,12,34
"2021-05-01",93,11,36
"2021-06-01",65,11,34
"2021-07-01",43,11,36
"2021-08-01",42,11,35
"2021-09-01",42,10,33
"2021-10-01",53,10,34
"2021-11-01",52,11,28
"2021-12-01",49,11,27
"2022-01-01",56,16,35
"2022-02-01",49,16,36
"2022-03-01",42,15,34
"2022-04-01",32,13,34
"2022-05-01",52,19,36
"2022-06-01",64,18,35
"2022-07-01",43,15,40
"2022-08-01",30,15,35
"2022-09-01",30,17,30
"2022-10-01",24,15,34
"2022-11-01",38,14,27
"2022-12-01",26,14,29
"2023-01-01",27,15,31
"2023-02-01",20,15,33
"2023-03-01",33,17,35
"2023-04-01",30,13,36
"2023-05-01",24,13,42
"2023-06-01",26,14,40
"2023-07-01",25,14,41
"2023-08-01",22,14,40
"2023-09-01",20,12,34
"2023-10-01",26,14,36
"2023-11-01",29,14,31
"2023-12-01",36,15,32
"2024-01-01",42,15,32
"2024-02-01",40,16,32
"2024-03-01",65,15,32
"2024-04-01",47,16,34
"2024-05-01",33,14,35
"2024-06-01",29,14,34
"2024-07-01",34,16,35
"2024-08-01",34,21,32
"2024-09-01",27,17,31
"2024-10-01",27,17,30
"2024-11-01",76,19,27
"2024-12-01",68,18,27
"2025-01-01",52,19,30
"2025-02-01",45,20,31
"2025-03-01",48,30,33
"2025-04-01",40,53,32
"2025-05-01",43,26,40
"2025-06-01",37,23,38
"2025-07-01",55,26,35
"2025-08-01",43,23,35
"2025-09-01",32,22,33
"2025-10-01",45,25,35
"2025-11-01",61,23,30
"2025-12-01",47,22,31
"2026-01-01",41,23,37
